Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Veículo;Veículos Aquáticos;Veículos Terrestre;Línguas;Quantidade de Veículos;Trimestre
VENTO FORTE LOCADORA DE VEICULOS EIRELI;VENTO FORTE;19.413.938/0001-61;MICROEMPRESA;16/12/2013;Em Operação;Locadora de Veículos para Turistas;02418-150;SP;São Paulo;Parque Mandaqui;Meropé Dantas Magalhães; - ;(11)7720-3181;Ventofortelocadora@gmail.com;DETYLU@UOL.COM.BR; - ;02/08/2019 16:11:21;02/08/2021 16:11:21;19.413.938/0001-61;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
PETRO BRASIL TURISMO E LOCADORA DE VEICULOS LTDA;PETRO BRASIL;19.447.462/0001-80;MICROEMPRESA;20/12/2013;Em Operação;Locadora de Veículos para Turistas;25655-151;RJ;Petrópolis;Coronel Veiga;Coronel Veiga; - ;(24)2245-3175;petrobrasiltur@hotmail.com;petrobrasiltur@hotmail.com; - ;12/11/2018 11:49:21;12/11/2020 11:49:21;19.447.462/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus; - ;1;2020T01
GUSTAVO ABREU DE SOUZA;A G TRANSPORTES;19.463.486/0001-22;MICROEMPRESA;03/01/2014;Em Operação;Locadora de Veículos para Turistas;79290-000;MS;Bonito; - ;R NOVA JERUSALEM, 996; - ;(67)9912-3792;gustavoabreu0103@hotmail.com;gustavoabreu0103@hotmail.com; - ;17/06/2019 09:47:31;17/06/2021 09:47:31;19.463.486/0001-22;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
PROTASIO TRANSPORTE E FRETAMENTO LTDA;PROTOUR;19.527.940/0001-61;DEMAIS;07/01/2014;Em Operação;Locadora de Veículos para Turistas;59078-600;RN;São Gonçalo do Amarante;Capim Macio;Engenheiro Roberto Freire, nº 2284;- de 455 a 945 - lado ímpar;(84)4008-2829;locacao@protour.com.br;locacao@protour.com.br; - ;13/03/2019 12:22:28;13/03/2021 12:22:28;19.527.940/0001-61;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
BOX 54 COMERCIO E PRESTACAO DE SERVICOS LTDA;BOX 54;19.553.372/0001-73;EMPRESA DE PEQUENO PORTE;20/01/2014;Em Operação;Locadora de Veículos para Turistas;18147-000;SP;Araçariguama; - ;Estrada gregório Spina, 341;Galpão O;(11)4204-1280;SUPORTE@BOX54.COM.BR;SUPORTE@BOX54.COM.BR;www.box54.com.br;01/11/2019 12:41:26;01/11/2021 12:41:26;19.553.372/0001-73;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
LUIZ CARLOS;HADASSA TRANSPORTES;19.581.820/0001-42;MICROEMPRESA;23/01/2014;Em Operação;Locadora de Veículos para Turistas;37466-000;MG;Itamonte; - ;RUA JOSE LUCAS DA SILVA;;(35)3363-3347;flavinhoadm@yahoo.com.br;flavinhoadm@yahoo.com.br; - ;16/10/2018 14:13:11;16/10/2020 14:13:11;19.581.820/0001-42;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
TDF TRAVEL - LOCADORA DE VEICULOS - EIRELI;TDF TRAVEL LOCADORA DE VEICULOS;19.645.713/0001-30;MICROEMPRESA;03/02/2014;Em Operação;Locadora de Veículos para Turistas;03617-000;SP;São Paulo; - ;Sem Logradouro; - ;(11)2958-6950;tdftravellocadora@gmail.com;tdftravellocadora@gmail.com; - ;11/03/2020 09:39:59;11/03/2022 09:39:59;19.645.713/0001-30;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
LB TRANSPORTE ESCOLAR E LOCACAO DE VEICULOS LTDA;LB TRANSPORTE ESCOLAR E TURISMO;19.652.484/0001-81;MICROEMPRESA;30/01/2014;Em Operação;Locadora de Veículos para Turistas;88312-150;SC;Itajaí;São Vicente;Bernardino Leonel Felix; - ;(47)9637-6150;turismorodrigo@hotmail.com;turismorodrigo@hotmail.com; - ;05/11/2018 11:36:14;05/11/2020 11:36:14;19.652.484/0001-81;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada;Terrestre; - ;Microonibus; - ;4;2020T01
VIAGEM CONFORTO EIRELI;CONFORTO VIAGENS;19.701.415/0001-10;MICROEMPRESA;12/02/2014;Em Operação;Locadora de Veículos para Turistas;13309-605;SP;Itu;Parque Industrial;Ângelo Nalécio; - ;(11)9839-9315;CONFORTOVIAGENS@HOTMAIL.COM;CONFORTOVIAGENS@HOTMAIL.COM; - ;07/06/2018 15:30:38;07/06/2020 15:30:38;19.701.415/0001-10;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
GEO TRANSPORTE TURISMO E LOCADORA LTDA;GEO TUR;19.746.854/0001-40;MICROEMPRESA;19/02/2014;Em Operação;Locadora de Veículos para Turistas;36033-370;MG;Juiz de Fora;Teixeiras;Jésus Raimundo 413;cs 201;(32)3083-5079;JTR.CONTABILIDADE@HOTMAIL.COM;JTR.CONTABILIDADE@HOTMAIL.COM; - ;30/03/2020 16:03:56;30/03/2022 16:03:56;19.746.854/0001-40;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SERVICE ASSAI - EIRELI;ASSAI TUR;19.793.020/0001-95;MICROEMPRESA;18/02/2014;Em Operação;Locadora de Veículos para Turistas;86701-020;PR;Arapongas;Centro;Tucanos;- de 1606/1607 ao fim;(43)3312-2320;assai_tur@hotmail.com;assai_tur@hotmail.com; - ;14/01/2019 16:52:32;14/01/2021 16:52:32;19.793.020/0001-95;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
SAMANTHA BORGES;LOCADORA TRANSBORGES;19.794.765/0001-79;MICROEMPRESA;26/02/2014;Em Operação;Locadora de Veículos para Turistas;88400-000;SC;Ituporanga; - ;Sem Logradouro; - ;(47)8841-5141;locadoratransborges@gmail.com;locadoratransborges@gmail.com; - ;18/02/2019 11:17:26;18/02/2021 11:17:26;19.794.765/0001-79;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Automóvel; - ;3;2020T01
SILK BRINDES COMUNICACAO VISUAL, PUBLICIDADE, PROPAGANDA E TELECOMUNICACOES LTDA;SILK BRINDES COMUNICACAO VISUAL;19.814.481/0001-05;MICROEMPRESA;28/02/2014;Em Operação;Locadora de Veículos para Turistas;38770-000;MG;João Pinheiro; - ;Rua Astolfo Moreira, n° 32;;(38)3561-2588;silkbrindes@live.com;silkbrindes@live.com; - ;05/06/2019 13:48:53;05/06/2021 13:48:53;19.814.481/0001-05;9329-8/99 - OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE ;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
S M FUHR SERVICOS COMERCIAIS;FUHR SERVICOS COMERCIAIS;19.819.470/0001-00;MICROEMPRESA;05/03/2014;Em Operação;Locadora de Veículos para Turistas;93346-170;RS;Novo Hamburgo;Petrópolis;Ivo Athanásio Kroeff;FUNDOS;(51)9222-4008;fuhrservicos@gmail.com;fuhrservicos@gmail.com; - ;08/05/2018 12:09:05;08/05/2020 12:09:05;19.819.470/0001-00;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
BRITANICA TRANSPORTES E SERVICOS GERAIS LTDA;BRITANICA TRANSPORTES;19.829.192/0001-71;MICROEMPRESA;06/03/2014;Em Operação;Locadora de Veículos para Turistas;04830-190;SP;São Paulo;Jardim Presidente;Aguanaval; - ;(11)9873-5429;BRITANICATRANSPORTES@YMAIL.COM.BR;BRITANICATRANSPORTES@YMAIL.COM.BR; - ;11/07/2018 12:02:24;11/07/2020 12:02:24;19.829.192/0001-71;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SAGRES TRANSPORTE E TURISMO LTDA;SAGRES TRANSPORTE;19.877.241/0001-41;MICROEMPRESA;14/03/2014;Em Operação;Locadora de Veículos para Turistas;28617-010;RJ;Nova Friburgo;Fazenda Bela Vista;Joviniano José Sanglard; - ;(22)2521-7753;sagrestransporte@hotmail.com;sagrestransporte@hotmail.com; - ;13/12/2018 15:19:45;13/12/2020 15:19:45;19.877.241/0001-41;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
M DA S SENRRA BARROS LOCADORA DE VEICULOS;LOCTRANS;19.895.603/0001-27;MICROEMPRESA;18/03/2014;Em Operação;Locadora de Veículos para Turistas;25880-000;RJ;Sapucaia;Matinha;Sem Logradouro; - ;(24)9922-0614;dartacontabilidade@yahoo.com.br;dartacontabilidade@yahoo.com.br; - ;13/02/2019 11:38:40;13/02/2021 11:38:40;19.895.603/0001-27;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Microonibus; - ;1;2020T01
PK LOCADORA LTDA;TRESCINCO LOCADORA LTDA;19.931.327/0001-05;DEMAIS;10/03/2014;Em Operação;Locadora de Veículos para Turistas;78060-600;MT;Cuiabá;Jardim das Américas;Fernando Correa da Costa; - ;(65)3615-3535;gestorpatrick@gmail.com;gestorpatrick@gmail.com; - ;23/07/2018 19:08:41;23/07/2020 19:08:41;19.931.327/0001-05;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
DORCAM EIRELI;MY SHUTTLE;19.946.727/0001-94;MICROEMPRESA;25/03/2014;Em Operação;Locadora de Veículos para Turistas;53040-000;PE;Olinda;Casa Caiada;Governador Carlos de Lima Cavalcante; - ;(81)3132-3289;contato@myshuttle.com.br;contato@myshuttle.com.br;www.myshuttle.com.br;27/11/2018 15:05:07;27/11/2020 15:05:07;19.946.727/0001-94;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
NSP TRANSPORTE TURISMO E LOCADORA EIRELI;NSP VIAGENS E EVENTOS;20.072.851/0001-57;MICROEMPRESA;11/04/2014;Em Operação;Locadora de Veículos para Turistas;36240-000;MG;Santos Dumont; - ;RUA MACHADO DE ASSIS 645;;(32)8844-9972;jtr.contabilidade@hotmail.com;jtr.contabilidade@hotmail.com; - ;30/04/2020 17:26:30;30/04/2022 17:26:30;20.072.851/0001-57;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
FROTTAS LOCADORA DE VEICULOS BLINDADOS LTDA;FROTTAS TRANSPORTES;20.079.255/0001-07;EMPRESA DE PEQUENO PORTE;11/04/2014;Em Operação;Locadora de Veículos para Turistas;22211-120;RJ;Rio de Janeiro;Glória;da Glória;BL03 PARTE SALA 262;(21)4042-2494;joao@frottas.com.br;joao@frottas.com.br;HTTP://WWW.FROTTAS.COM.BR;06/06/2018 10:27:36;06/06/2020 10:27:36;20.079.255/0001-07;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Espanhol|Inglês;0;2020T01
IMPACTO COMERCIO E SERVICOS EIRELI;IMPACTO COMERCIO E SERVICOS;20.102.044/0001-30;MICROEMPRESA;17/04/2014;Em Operação;Locadora de Veículos para Turistas;83312-000;PR;Piraquara;Guarituba;Pastor Adolfo Weidmann;1068;(41)4001-3732;comercial@impactoservicos.net.br;impactocomercioservicos@gmail.com; - ;04/04/2019 10:27:51;04/04/2021 10:27:51;20.102.044/0001-30;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
DELVAUX MANOEL DOS ANJOS MARTINS;DELVOUX;20.137.751/0001-61;MICROEMPRESA;25/04/2014;Em Operação;Locadora de Veículos para Turistas;36700-000;MG;Leopoldina; - ;RUA ALINE MONTEIRO GOMES 56;VALE DO SOL;(32)3441-4021;SEMAR@SEMARCONTABIL.COM.BR;SEMAR@SEMARCONTABIL.COM.BR; - ;10/12/2019 16:08:22;10/12/2021 16:08:22;20.137.751/0001-61;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
PP TRANSPORTES LTDA;LUCIA VIAGENS E LOCAÇÕES;20.161.987/0001-33;MICROEMPRESA;29/04/2014;Em Operação;Locadora de Veículos para Turistas;75534-120;GO;Itumbiara;Jardim Leonora;V 11; - ;(64)3404-2340;luciaviagenselocacoes@hotmail.com;luciaviagenselocacoes@hotmail.com; - ;25/06/2019 08:34:29;25/06/2021 08:34:29;20.161.987/0001-33;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
SKAP LOCADORA DE VEICULOS LTDA;SKAP LOCADORA DE VEICULOS;20.167.587/0001-35;MICROEMPRESA;30/04/2014;Em Operação;Locadora de Veículos para Turistas;37026-440;MG;Varginha;Vila Andere II;Japão; - ;(35)3222-6004;skapvans@hotmail.com;skapvans@hotmail.com; - ;09/05/2019 15:54:29;09/05/2021 15:54:29;20.167.587/0001-35;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
RGP TRANSPORTE TURISMO E LOCADORA DE VEICULOS LTDA;RGP TRANSPORTE E LOCADORA;20.208.802/0001-07;MICROEMPRESA;08/05/2014;Em Operação;Locadora de Veículos para Turistas;36120-000;MG;Matias Barbosa; - ;Rua Doutor Luiz de Souza Brandao;;(32)3083-5079;jtr.contabilidade@hotmail.com;jtr.contabilidade@hotmail.com; - ;14/05/2018 14:24:00;14/05/2020 14:24:00;20.208.802/0001-07;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
TRES 4 LOCADORA DE VEICULOS E VANS LTDA;TRES 4 TRANSPORTE EXECUTIVO;20.210.103/0001-93;MICROEMPRESA;08/05/2014;Em Operação;Locadora de Veículos para Turistas;08230-020;SP;São Paulo;Vila Taquari;Francisco Rodrigues Seckler;- até 632/633;(11)9471-2572;adelmo.van@hotmail.com;adelmo.van@hotmail.com; - ;17/04/2019 11:35:01;17/04/2021 11:35:01;20.210.103/0001-93;7719-5/99 - LOCAÇÃO DE OUTROS MEIOS DE TRANSPORTE NÃO ESPECIFICADOS ANTERIORMENTE, SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
J. AUGUSTO DOS SANTOS;EL SHADDAI;20.328.070/0001-80;MICROEMPRESA;16/05/2014;Em Operação;Locadora de Veículos para Turistas;64012-000;PI;Teresina;Parque Brasil;Alagoas; - ;(86)9991-8436;rodriguesnunes.com@ig.com.br;rodriguesnunes.com@ig.com.br; - ;31/07/2019 12:13:33;31/07/2021 12:13:33;20.328.070/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
NATOUR TURISMO EIRELI;NORTH PANTANAL SAFARI;20.330.504/0001-87;MICROEMPRESA;22/05/2014;Em Operação;Locadora de Veículos para Turistas;78050-000;MT;Cuiabá;Bosque da Saúde;Historiador Rubens de Mendonça;3000;(65)9966-0681;info@northpantanal.com;info@northpantanal.com;http://northpantanal.com.br;22/11/2018 14:51:34;22/11/2020 14:51:34;20.330.504/0001-87;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Espanhol|Inglês;0;2020T01
F O BARRETO LOCACAO DE AUTOMOVEIS;F O BARRETO LOCAÇÃO DE AUTOMOVEIS - ME;20.346.614/0001-37;MICROEMPRESA;20/05/2014;Em Operação;Locadora de Veículos para Turistas;27215-040;RJ;Volta Redonda;Jardim Paraíba;General Nilton Fontoura; - ;(24)3347-1335;departamento_alvara@hotmail.com;departamento_alvara@hotmail.com; - ;16/01/2019 09:46:51;16/01/2021 09:46:51;20.346.614/0001-37;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
VIOLET MOON EVENTOS E TURISMO EIRELI;VIOLET MOON EVENTOS E TURISMO;20.357.400/0001-66;MICROEMPRESA;23/05/2014;Em Operação;Locadora de Veículos para Turistas;88010-145;SC;Florianópolis;Centro;Hercílio Luz;639, Sala 04-B, Ed. Alpha Centauri;(48)9911-6866;gisele@violetmooneventos.com.br;gisele@violetmooneventos.com.br; - ;08/07/2019 15:49:18;08/07/2021 15:49:18;20.357.400/0001-66;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
JOAO PAIM DA ROSA COMERCIAL;JOAO PAIM DA ROSA LOCADORA - ME;20.379.916/0001-01;MICROEMPRESA;04/06/2014;Em Operação;Locadora de Veículos para Turistas;12605-605;SP;Lorena;Parque das Rodovias;Altimo Eid Salomi; - ;(12)3126-1135;jprosa.paim@gmail.com;jprosa.paim@gmail.com; - ;20/12/2018 15:04:19;20/12/2020 15:04:19;20.379.916/0001-01;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual);Terrestre; - ;Microonibus; - ;2;2020T01
ROSANGELA REGINA REAL BERALDO;REGATTA MARINA SERVICE;20.385.182/0001-73;MICROEMPRESA;04/06/2014;Em Operação;Locadora de Veículos para Turistas;19273-000;SP;Rosana; - ;Av. Nossa Senhora dos Navegantes, 1880;Próximo ao Balneário Municipal de Rosana;(44)9995-7723;RegattaMarina.Rosangela@gmail.com;RegattaMarina.Rosangela@gmail.com; - ;20/02/2019 12:48:44;20/02/2021 12:48:44;20.385.182/0001-73;9329-8/99 - OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE ;Empresário (Individual); - ; - ; - ;Português;0;2020T01
LIMIAR TRANSPORTES LTDA;LIMIAR TRANSPORTES;20.401.038/0001-83;EMPRESA DE PEQUENO PORTE;06/06/2014;Em Operação;Locadora de Veículos para Turistas;38440-018;MG;Araguari;Rosário;Coronel Lindolfo França;- de 125/126 ao fim;(34)9924-6024;LIMIARTRANSPORTES@GMAIL.COM;LIMIARTRANSPORTES@GMAIL.COM; - ;08/10/2019 14:00:45;08/10/2021 14:00:45;20.401.038/0001-83;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
TRANSFORMAR TRANSPORTES EIRELI;TRANSFORMAR TRANSPORTES;20.460.322/0001-20;EMPRESA DE PEQUENO PORTE;17/06/2014;Em Operação;Locadora de Veículos para Turistas;30516-120;MG;Belo Horizonte;Vista Alegre;Teresa Cristina;7312;(31)3087-7497;contato@consiga.com.br;contato@transformartransportes.com.br; - ;08/03/2019 14:15:43;08/03/2021 14:15:43;20.460.322/0001-20;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Terrestre; - ;Ônibus; - ;1;2020T01
RUY BARBOSA DE MIRANDA;LOCADORA VAMOS DE VAN;20.496.472/0001-94;MICROEMPRESA;25/06/2014;Em Operação;Locadora de Veículos para Turistas;79006-230;MS;Campo Grande;Vila Taquarussu;Rua São Roque;nº 516;(67)9922-5051;vamosdevancg@hotmail.com;vamodevancg@hotmail.com; - ;17/12/2018 10:49:41;17/12/2020 10:49:41;20.496.472/0001-94;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
J.E.C. DOS SANTOS TRANSPORTES;JJ TOUR;20.506.667/0001-78;MICROEMPRESA;26/06/2014;Em Operação;Locadora de Veículos para Turistas;12944-370;SP;Atibaia;Parque das Nações;Brasília; - ;(11)4783-6886;LAIZA.CONTABIL@GMAIL.COM;LAIZA.CONTABIL@GMAIL.COM; - ;19/06/2018 10:25:32;19/06/2020 10:25:32;20.506.667/0001-78;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
SMART LOCACAO E SERVICOS EIRELI;SMART LOCAÇÃO E SERVIÇOS;20.513.785/0001-03;EMPRESA DE PEQUENO PORTE;27/06/2014;Em Operação;Locadora de Veículos para Turistas;57025-890;AL;Maceió;Poço;Pedro Américo; - ;(82)9981-8181;juliesimoes_@hotmail.com;juliesimoes_@hotmail.com; - ;20/07/2018 09:41:35;20/07/2020 09:41:35;20.513.785/0001-03;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ;Inglês;0;2020T01
P C DE OLIVEIRA CONSTRUCOES LTDA;OLIVEIRA TRANSPORTES;20.520.463/0001-91;MICROEMPRESA;12/06/2014;Em Operação;Locadora de Veículos para Turistas;84980-000;PR;São José da Boa Vista; - ;ROD PR 422 ;KM 03;(43)3565-1218;seguros@grupompr.net;seguros@grupompr.net; - ;21/05/2018 10:12:57;21/05/2020 10:12:57;20.520.463/0001-91;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
BKB GESTAO DE NEGOCIOS IMOBILIARIOS LTDA;BKB BUSINESS;20.546.890/0001-49;DEMAIS;23/06/2014;Em Operação;Locadora de Veículos para Turistas;78060-094;MT;Cuiabá;Jardim Leblon;Benedito Camargo; - ;(65)9844-8080;engbruno@hotmail.com;engbruno@hotmail.com; - ;18/09/2019 16:16:00;18/09/2021 16:16:00;20.546.890/0001-49;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
W. L. DOS ANJOS EIRELI;MEGA MIX CARAJAS IMPORTADOS;20.603.852/0001-80;MICROEMPRESA;09/07/2014;Em Operação;Locadora de Veículos para Turistas;68515-000;PA;Parauapebas; - ;Rua: Bartolomeu n° 400;;(94)9188-0802;WEVERTON_LEAL@HOTMAIL.COM;MDRIOMARIA@HOTMAIL.COM; - ;07/11/2018 10:37:03;07/11/2020 10:37:03;20.603.852/0001-80;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
AGATHA LOCADORA DE VEICULOS LTDA;AGATHA RENT A CAR;20.607.698/0001-15;MICROEMPRESA;10/07/2014;Em Operação;Locadora de Veículos para Turistas;30672-760;MG;Belo Horizonte;Independência (Barreiro);Irineu Garcia de Oliveira; - ;(31)3387-6330;agathatransportes@gmail.com;agathalocadoradeveiculos@gmail.com;www.eventhoturismo.com.br;29/03/2019 13:37:57;29/03/2021 13:37:57;20.607.698/0001-15;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ; - ;0;2020T01
FELIPE WAGNER C GOMES;SANSAO SOLUCOES EM SERVICOS;20.630.402/0001-87;MICROEMPRESA;10/07/2014;Em Operação;Locadora de Veículos para Turistas;61656-485;CE;Caucaia;Arianópolis (Jurema);Rua H, Nº 300;Loteamento Metrópole Sul;(85)4105-0607;comercialsansaoservicos@gmail.com;comercialsansaoservicos@gmail.com; - ;11/12/2019 10:57:29;11/12/2021 10:57:29;20.630.402/0001-87;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
TELEVAN LOCACAO DE VEICULOS EIRELI;TELE VANS BH;20.700.288/0001-14;MICROEMPRESA;24/07/2014;Em Operação;Locadora de Veículos para Turistas;31030-105;MG;Belo Horizonte;Sagrada Família;Silviano Brandão;- de 799 a 1863 - lado ímpar;(31)3201-7704;CONTABILIDADE.MACIEL@CONTABILIDADEMACIEL.COM.BR;CONTABILIDADE.MACIEL@CONTABILIDADEMACIEL.COM.BR; - ;10/12/2018 10:49:07;10/12/2020 10:49:07;20.700.288/0001-14;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária); - ; - ; - ; - ;0;2020T01
UP LOCADORA DE VEICULOS LTDA;UP LOCADORA DE VEÍCULOS;20.721.423/0001-08;MICROEMPRESA;28/07/2014;Em Operação;Locadora de Veículos para Turistas;54580-645;PE;Cabo de Santo Agostinho;Ponte dos Carvalhos;Oscar Francisco de Lima; - ;(81)4106-5511;comercial@uplocadora.com;comercial@uplocadora.com; - ;03/10/2018 09:42:53;03/10/2020 09:42:53;20.721.423/0001-08;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Sociedade Empresária Limitada; - ; - ; - ;Inglês;0;2020T01
R B DA SILVA;R R TRANSPORTES;20.740.689/0001-06;MICROEMPRESA;30/07/2014;Em Operação;Locadora de Veículos para Turistas;77001-388;TO;Palmas;Plano Diretor Norte;307 Norte Avenida LO 10; - ;(63)3225-3681;essencialcontabilidade1@gmail.com;essencialcontabilidade1@gmail.com; - ;29/11/2019 11:45:27;29/11/2021 11:45:27;20.740.689/0001-06;7711-0/00 - LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR;Empresário (Individual); - ; - ; - ; - ;0;2020T01
